symbol,side,quantity,entry_price,exit_price,pnl,entry_timestamp,exit_timestamp,exit_reason
BTCUSDC,long,0.00024,113625.16,113720.7,0.0229,2025-09-10T17:41:38.941646,2025-09-10T17:57:01.124651,Zamknięcie Awaryjne
WLDUSDC,short,15.3,1.794,1.821,-0.4131,2025-09-10T19:25:07.444353,2025-09-10T19:55:04.968549,Sygnał przeciwny
WLDUSDC,long,14.9,1.821,1.86,0.5811,2025-09-10T19:55:10.311374,2025-09-10T20:02:20.854777,Take Profit
WLDUSDC,long,14.9,1.847,1.884,0.5513,2025-09-10T20:05:04.546250,2025-09-10T22:56:52.830282,Take Profit
WLDUSDC,long,12.1,1.799,1.784,-0.1815,2025-09-11T03:11:03.963926,2025-09-11T03:33:02.644273,Sygnał przeciwny
WLDUSDC,long,12,1.799,1.792,-0.0840,2025-09-11T03:50:04.707968,2025-09-11T04:12:02.767627,Sygnał przeciwny
WLDUSDC,short,12.2,1.76,1.765,-0.0610,2025-09-11T05:55:54.772831,2025-09-11T05:57:58.710497,Sygnał przeciwny
WLDUSDC,long,12.2,1.765,1.763,-0.0244,2025-09-11T05:58:04.015732,2025-09-11T05:59:50.734071,Sygnał przeciwny
WLDUSDC,short,12.1,1.771,1.768,0.0363,2025-09-11T06:04:04.068787,2025-09-11T06:08:56.686150,Sygnał przeciwny
WLDUSDC,short,12.1,1.768,1.77,-0.0242,2025-09-11T06:15:59.081972,2025-09-11T06:16:09.470155,Sygnał przeciwny
WLDUSDC,short,27.4,1.747,1.711,0.9864,2025-09-11T07:05:13.410940,2025-09-11T11:32:56.710071,Take Profit
WLDUSDC,short,28.4,1.712,1.657,1.5620,2025-09-11T11:33:06.280666,2025-09-11T12:30:28.950052,Take Profit
WLDUSDC,short,30,1.666,1.617,1.4700,2025-09-11T12:30:38.487116,2025-09-11T15:24:58.771058,Take Profit
WLDUSDC,long,6.7,1.603,1.602,-0.0067,2025-09-11T16:41:06.344628,2025-09-11T16:46:59.417144,Sygnał przeciwny
WLDUSDC,short,13.4,1.601,1.597,0.0536,2025-09-11T16:47:07.002795,2025-09-11T16:51:05.318877,Take Profit
WLDUSDC,long,5.3,1.6,1.605,0.0265,2025-09-11T16:51:12.816812,2025-09-11T16:55:51.337465,Take Profit
WLDUSDC,short,10.6,1.605,1.657,-0.5512,2025-09-11T18:56:00.985262,2025-09-12T00:09:00.667572,Zamknięcie Awaryjne
WLDUSDC,long,30.5,1.637,1.647,0.3050,2025-09-12T07:13:06.314022,2025-09-12T07:13:52.822676,Take Profit
WLDUSDC,short,60.8,1.648,1.65,-0.1216,2025-09-12T07:14:02.455330,2025-09-12T07:15:06.336145,Sygnał przeciwny
WLDUSDC,long,30.1,1.66,1.669,0.2709,2025-09-12T08:08:03.788248,2025-09-12T08:10:26.151799,Take Profit
WLDUSDC,short,60,1.677,1.685,-0.4800,2025-09-12T08:10:35.799096,2025-09-12T08:11:02.742184,Sygnał przeciwny
WLDUSDC,long,29.4,1.733,1.742,0.2646,2025-09-12T08:30:07.399443,2025-09-12T08:31:19.177400,Take Profit
WLDUSDC,short,58.6,1.747,1.746,0.0586,2025-09-12T08:31:28.856896,2025-09-12T08:32:02.907261,Sygnał przeciwny
WLDUSDC,long,29.4,1.688,1.684,-0.1176,2025-09-12T09:54:44.518467,2025-09-12T09:54:55.006009,Sygnał przeciwny
WLDUSDC,short,58.80000000,1.68500000,1.67400000,0.6468,2025-09-12T09:55:02.541895,2025-09-12T10:00:31.491186,Sygnał przeciwny
WLDUSDC,long,30.80000000,1.60600000,1.60500000,-0.0308,2025-09-12T16:20:06.667244,2025-09-12T16:20:23.559053,Sygnał przeciwny
WLDUSDC,short,61.60000000,1.60400000,1.61700000,-0.8008,2025-09-12T16:20:31.107953,2025-09-12T17:11:03.656918,Sygnał przeciwny
WLDUSDC,long,30.10000000,1.61000000,1.60800000,-0.0602,2025-09-12T19:55:06.890292,2025-09-12T19:58:37.826494,Sygnał przeciwny
WLDUSDC,short,30.10000000,1.60700000,1.63900000,-0.9632,2025-09-12T19:58:45.344647,2025-09-12T21:15:07.535923,Sygnał przeciwny
WLDUSDC,long,29.00000000,1.63900000,1.66400000,0.7250,2025-09-12T21:15:13.004268,2025-09-12T23:44:41.985338,Take Profit
WLDUSDC,long,55.10000000,1.65900000,1.68500000,1.4326,2025-09-12T23:45:12.038947,2025-09-13T02:02:35.192295,Take Profit
WLDUSDC,long,53.00000000,1.71000000,1.64800000,-3.2860,2025-09-13T02:15:08.334702,2025-09-13T04:16:48.094799,Zamknięcie Awaryjne
WLDUSDC,long,12.70000000,1.61500000,1.61700000,0.0254,2025-09-13T20:51:14.402956,2025-09-13T21:11:33.285046,Sygnał przeciwny
WLDUSDC,short,25.40000000,1.61600000,1.61300000,0.0762,2025-09-13T21:11:40.823529,2025-09-13T21:20:43.769720,Sygnał przeciwny
WLDUSDC,long,7.60000000,1.61200000,1.61000000,-0.0152,2025-09-13T21:20:49.093721,2025-09-13T21:33:12.791195,Sygnał przeciwny
